编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,商家地址,月销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
196,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao型男家族0208"，"点我对话"),型男家族0208,品味阁精品男装,,15955136816,,https://shop110529677.taobao.com,470,安徽省合肥市,,,4.8354分,4.02%,4.875分,9.35%,4.85626分,0.24%,,,,,,,,,,
197,深圳市微联华宇科技发展有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao戴登尔眼镜旗舰店"，"点我对话"),戴登尔眼镜旗舰店,戴登尔眼镜旗舰店,,13189711477,,https://shop266813926.taobao.com/,23748,广东省深圳市,,,4.90336分,26.00%,4.90491分,28.86%,4.88968分,13.26%,,,,,,,,,,
198,中山市欧栢摄影器材有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoobo数码旗舰店"，"点我对话"),obo数码旗舰店,obo数码旗舰店,13113936090,18814391632,,https://shop103437470.taobao.com/,12451,广东省 中山市,,,4.96364分,72.16%,4.89091分,18.39%,4.92121分,38.05%,,,,,,,,,,
199,瑞安市咘拉仔鞋业有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao咘拉仔旗舰店"，"点我对话"),咘拉仔旗舰店,咘拉仔旗舰店,,13355777658,,https://shop106257616.taobao.com/,5674,浙江省 温州市,,,4.83636分,0.91%,4.82078分,1.05%,4.84156分,0.82%,,,,,,,,,,
200,嘉兴市海盐县怡福旅游信息咨询有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao贝熙箱包旗舰店"，"点我对话"),贝熙箱包旗舰店,贝熙箱包旗舰店,18267380950,,,https://shop355911621.taobao.com/,24786,浙江 嘉兴,,,4.83158分,0.69%,4.83684分,0%,4.86316分,0%,,,,,,,,,,
201,诸暨市乐言针织有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao勾勾手童装旗舰店"，"点我对话"),勾勾手童装旗舰店,勾勾手童装旗舰店,,13429588095,,https://shop225059547.taobao.com/,93908,浙江省绍兴市,,,4.87746分,0%,4.87678分,3.80%,4.88546分,3.40%,,,,,,,,,,
202,唐山瑞玖商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao瑞玖旗舰店"，"点我对话"),瑞玖旗舰店,瑞玖旗舰店,15100531390,,,https://shop105725594.taobao.com/,320627,河北省 唐山市,,,4.94321分,57.07%,4.92063分,45.47%,4.91711分,40.37%,,,,,,,,,,
203,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao因你更美"，"点我对话"),因你更美,韵美家居,13631981832,13631981832,,https://shop66653802.taobao.com,72,广东省惠州市,,99.4%,4.96875分,77.77%,4.90625分,24.92%,4.90625分,22.12%,,,,,,,,,,
204,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoruixing8886"，"点我对话"),ruixing8886,巨美豪客城,,18966016929,,https://shop73307974.taobao.com,616,浙江省金华市,,,4.7803分,-1.00%,4.83196分,-0.62%,4.82438分,-0.90%,,,,,,,,,,
205,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao灰机不起飞"，"点我对话"),灰机不起飞,瑞亦达科技工厂店,,18650803079,,https://shop70405711.taobao.com,431,福建省厦门市,,,4.92806分,16.65%,4.96403分,53.67%,4.97826分,72.48%,,,,,,,,,,
206,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao美嘉男"，"点我对话"),美嘉男,新程职业装,18511877702,,,https://shop104467844.taobao.com,10,北京市,,98.8%,4.775分,-1.11%,4.775分,-1.79%,4.825分,-0.88%,,,,,,,,,,
207,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao雅婷韩衣阁"，"点我对话"),雅婷韩衣阁,海洋优质家纺,,13014560015,,https://shop106338047.taobao.com,28,河南省郑州市,,95.8%,4.93569分,64.40%,4.95082分,68.75%,4.95839分,72.61%,,,,,,,,,,
208,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao郑州宝威百货商行"，"点我对话"),郑州宝威百货商行,郑州宝威皮具商行,,15136127960,,https://shop68566138.taobao.com,2,河南省郑州市,,,4.91667分,51.41%,4.91667分,39.57%,4.91667分,36.90%,,,,,,,,,,
209,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao柏骏商贸"，"点我对话"),柏骏商贸,温州柏骏电气有限公司,,13777743237,,https://shop151806326.taobao.com,142,浙江省温州市,,99.8%,4.93333,22.78%,4.93333,14.11%,4.93333分,15.59%,,,,,,,,,,
210,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaosh欣颜"，"点我对话"),sh欣颜,欣颜的小店,18036250120,18036251006,,https://shop36145011.taobao.com,10087,江苏省扬州市,,,4.95475分,67.20%,4.9638分,69.41%,4.9638分,68.43%,,,,,,,,,,
211,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao森达有机"，"点我对话"),森达有机,天长森达有机玻璃厂,15212088822,15212088822,,https://shop109799098.taobao.com,0,安徽省滁州市,,96.5%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
212,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao印无忧平台"，"点我对话"),印无忧平台,印无忧工厂,,18982205378,,https://shop160049944.taobao.com,143,四川省成都市,,97.9%,5.0,100.00%,5.0,100.00%,5.0分,100.00%,,,,,,,,,,
213,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao娜1119520"，"点我对话"),娜1119520,美恩派,,13760467123,,https://shop113955701.taobao.com,292,广东省深圳市,,,4.56818分,-5.99%,4.59343分,-5.78%,4.67929分,-4.11%,,,,,,,,,,
214,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao小清新56789"，"点我对话"),小清新56789,乐享居家百货,13359099150,13359099150,,https://shop143362671.taobao.com,0,安徽省黄山市,,99.2%,,,,,,,,,,,,,,,,
215,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao时尚购物礼品"，"点我对话"),时尚购物礼品,纯点一站式办公,13418845261,13418845261,,https://shop60047009.taobao.com,324,广东省深圳市,,,4.92308,45.28%,5.0,100.00%,5.0分,100.00%,,,,,,,,,,
216,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao安安稳稳1998"，"点我对话"),安安稳稳1998,中瑞玻璃制品,,15162261907,,https://shop182524721.taobao.com,450,江苏省徐州市,,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
217,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao小三大哥"，"点我对话"),小三大哥,净洁印刷包装,,13867768556,,https://shop70958845.taobao.com,3526,浙江省温州市,,,4.91954,50.39%,4.91954,44.42%,4.82759分,-0.62%,,,,,,,,,,
218,,三心,=HYPERLINK("aliim:sendmsg?&touid=cntaobaojunson1983"，"点我对话"),junson1983,广州裕诚用品,,13539716665,,https://shop60592529.taobao.com,0,广东省广州市,,100%,,,,,,,,,,,,,,,,
219,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaobaifujin93"，"点我对话"),baifujin93,贝匠家具,,,18060929959,https://shop65997093.taobao.com,1634,福建省厦门市,,,4.87972分,-0.69%,4.90073分,0.44%,4.90112分,0.40%,,,,,,,,,,
220,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaojessezhang84"，"点我对话"),jessezhang84,美域高家居,,13695267599,,https://shop71673118.taobao.com,4,广东省佛山市,,99.5%,4.8分,-2.31%,4.8分,-2.49%,4.8分,-2.46%,,,,,,,,,,
221,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao展高包装"，"点我对话"),展高包装,临安展高包装,,15267098763,,https://shop385174454.taobao.com,1,浙江省杭州市,,100%,4.875,33.45%,4.875,20.27%,4.875分,18.10%,,,,,,,,,,
222,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao凯达石油化工设备"，"点我对话"),凯达石油化工设备,凯达石油化工设备,,13851585258,,https://shop62313609.taobao.com,522,江苏省南京市,,,4.96939分,64.53%,4.96939分,60.57%,4.91837分,0.10%,,,,,,,,,,
223,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoczlan197838"，"点我对话"),czlan197838,小长腿增高休闲鞋,,18787487185,,https://shop71479371.taobao.com,0,云南省昆明市,,,4.92分,61.06%,4.88分,27.36%,4.88分,24.73%,,,,,,,,,,
224,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoshidan19870811"，"点我对话"),shidan19870811,伟栋食品店,15553062163,,,https://shop62479901.taobao.com,333,山东省菏泽市,,98.7%,4.84354,18.18%,4.85941,14.26%,4.85714分,9.46%,,,,,,,,,,
225,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaohp8721653"，"点我对话"),hp8721653,气泡膜工厂批发,15213212138,13650514895,,https://shop101527059.taobao.com,733,重庆市,,97.7%,4.79878分,-1.25%,4.81098分,-1.32%,4.82317分,-1.16%,,,,,,,,,,
226,医呵科技（武汉）有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao医呵旗舰店"，"点我对话"),医呵旗舰店,医呵旗舰店,,18062108738,,https://shop191522685.taobao.com/,33504,湖北省武汉市,,,4.83036分,1.06%,4.78571分,1.64%,4.77679分,1.93%,,,,,,,,,,
227,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaonancy19870928"，"点我对话"),nancy19870928,神农园艺用品,13968658826,,13968658826,https://shop100035392.taobao.com,29206,浙江省台州市,,,4.9,27.48%,4.9,15.39%,4.9分,12.66%,,,,,,,,,,
228,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoyss838189808"，"点我对话"),yss838189808,义乌市素素仿真花有限,,13362986128,,https://susuzhushi.taobao.com,199,浙江省金华市,,98.9%,4.55556,-6.24%,4.77778,-2.18%,4.77778分,-2.28%,,,,,,,,,,
229,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao诚信小店syyz"，"点我对话"),诚信小店syyz,男装裤业诚信点,,13866153298,,https://shop36524958.taobao.com,1,安徽省合肥市,,98.5%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
230,,二金,=HYPERLINK("aliim:sendmsg?&touid=cntaobao我的小熊牛"，"点我对话"),我的小熊牛,小熊牛,,15210366813,,https://bbee.taobao.com,20924,北京市,,,4.84382分,0.10%,4.878分,2.79%,4.88222分,3.15%,,,,,,,,,,
231,广州镁饰镁贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao沁蕾手表旗舰店"，"点我对话"),沁蕾手表旗舰店,沁蕾手表旗舰店,15919601235,13076775118,,https://shop102358572.taobao.com/,149916,广东 广州,,,4.77089分,2.43%,4.77714分,2.07%,4.80552分,1.64%,,,,,,,,,,
232,深圳高一化妆品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao高一化妆品专营店"，"点我对话"),高一化妆品专营店,高一化妆品专营店,18170571680,13860528965,,https://shop61897233.taobao.com/,4069,广东 深圳,,,4.81198分,1.44%,4.80719分,1.20%,4.82395分,0.96%,,,,,,,,,,
233,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaochenlan522"，"点我对话"),chenlan522,飘飘成人情趣用品店铺,,18608003207,,https://shop63566005.taobao.com,31,四川省成都市,,99.5%,4.70833分,-3.16%,4.8分,-1.67%,4.74167分,-2.94%,,,,,,,,,,
234,上海益瀚实业发展有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao益瀚化妆品专营店"，"点我对话"),益瀚化妆品专营店,益瀚化妆品专营店,18362510296,,,https://shop104655117.taobao.com/,22232,上海,,,4.88472分,2.15%,4.90043分,25.98%,4.92063分,38.59%,,,,,,,,,,
235,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao账户名叫线线"，"点我对话"),账户名叫线线,木木家 文艺甜美小清,,13826688774,,https://shop106394840.taobao.com/,20,广东省梅州市,,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
236,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao牵手幸福lz"，"点我对话"),牵手幸福lz,家有宝贝孕妇装,,,13587779066,https://shop64945362.taobao.com,31,浙江省温州市,,98.9%,4.79747分,-0.68%,4.82278分,-0.73%,4.81013分,-1.16%,,,,,,,,,,
237,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaozj82369456"，"点我对话"),zj82369456,苏珊兔高端定制,15267179270,18814890214,,https://shop116847577.taobao.com,1,浙江省杭州市,,,4.89916分,41.20%,4.91597分,39.06%,4.94118分,55.46%,,,,,,,,,,
238,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao森森时尚淘"，"点我对话"),森森时尚淘,恩尚精品内衣,,13537488048,,https://shop112647859.taobao.com,796,广东省东莞市,,,4.83255分,2.36%,4.84471分,0.36%,4.84471分,0.48%,,,,,,,,,,
239,,三金,=HYPERLINK("aliim:sendmsg?&touid=cntaobao梦回温州"，"点我对话"),梦回温州,姚恋潮流水杯の挑款师,,15925949095,,https://shop67575578.taobao.com,21430,浙江省金华市,,,4.73418分,-1.77%,4.76862分,-1.53%,4.76757分,-1.66%,,,,,,,,,,
240,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao_sky_2008"，"点我对话"),_sky_2008,ALEXANDER WANG YALE,,13713702042,,https://shop72638839.taobao.com,0,广东省深圳市,,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
241,北京卡蒙商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaokenmont卡蒙专卖店"，"点我对话"),kenmont卡蒙专卖店,kenmont卡蒙专卖店,,18610579557,,https://shop254997066.taobao.com/,15316,北京,,,4.88584分,15.31%,4.8952分,27.02%,4.90487分,29.16%,,,,,,,,,,
242,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao思思0304"，"点我对话"),思思0304,Dofer童装商城,,15210103010,,https://shop61117899.taobao.com,0,北京市,,99.7%,4.82857分,8.80%,4.85714分,8.56%,4.85714分,3.51%,,,,,,,,,,
243,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoz13586599889"，"点我对话"),z13586599889,蔺萍舞蹈鞋工厂,,13586599889,,https://shop102260134.taobao.com,157,浙江省宁波市,,97.5%,4.82432分,0.45%,4.82432分,-0.88%,4.85135分,0.37%,,,,,,,,,,
244,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb_button"，"点我对话"),tb_button,艾米Aimi家居百货,15868067630,15868067630,,https://shop109306238.taobao.com,638,浙江省温州市,,,4.73201分,-1.81%,4.78412分,-1.21%,4.80149分,-0.96%,,,,,,,,,,
245,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao晨晨名品服饰"，"点我对话"),晨晨名品服饰,萱萱名品羽绒服饰,15270278018,15270278018,15180698228,https://shop108775679.taobao.com,110,江西省九江市,,,4.62428分,-4.26%,4.65896分,-4.10%,4.66474分,-4.15%,,,,,,,,,,
246,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao多彩汽车用品店"，"点我对话"),多彩汽车用品店,可0可点车饰批发店,13785739453,18322339229,,https://shop108806619.taobao.com,30,天津市,,97%,4.86486分,16.68%,4.81081分,-0.91%,4.81081分,-0.97%,,,,,,,,,,
247,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaojieszai888"，"点我对话"),jieszai888,衣小筑原创女装,,15817408480,,https://shop71229261.taobao.com,20,广东省深圳市,,98.6%,4.80645分,0.46%,4.87097分,6.43%,4.90323分,26.72%,,,,,,,,,,
248,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao新童话a"，"点我对话"),新童话a,旺夫皇后时尚衣橱,,18767364357,,https://shop70586622.taobao.com,629,浙江省嘉兴市,,97.6%,4.69299分,-2.81%,4.75923分,-2.12%,4.77755分,-1.86%,,,,,,,,,,
249,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaocandicyu"，"点我对话"),candicyu,佳缘世纪珠宝,,13828448373,13828448373,https://shop103460065.taobao.com,22,广东省广州市,,99.8%,4.96875分,77.86%,4.92188分,32.57%,4.90625分,15.16%,,,,,,,,,,
250,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaopolo_wan"，"点我对话"),polo_wan,风林电商,,,13870071565,https://shop34999610.taobao.com,0,江西省南昌市,,96.2%,4.67308分,-2.53%,4.76923分,-1.36%,4.75分,-1.87%,,,,,,,,,,
251,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaomagic麻吉卡"，"点我对话"),magic麻吉卡,magic麻吉卡,,13347231833,,https://shop105187814.taobao.com,141,湖南省株洲市,,98.3%,4.81339,0.31%,4.84087,0.44%,4.86185分,0.13%,,,,,,,,,,
252,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao绿谷布衣女装"，"点我对话"),绿谷布衣女装,绿谷布衣女装,,18368885509,,https://shop111740936.taobao.com,59,浙江省杭州市,,98.9%,4.8415分,7.58%,4.89134分,21.20%,4.90054分,24.68%,,,,,,,,,,
253,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao两个天使飞呀飞"，"点我对话"),两个天使飞呀飞,珂歌的美妆店,,18980702234,,https://youjiade.taobao.com,0,四川省成都市,,99.9%,4.91176,52.26%,4.91403,43.60%,4.92308分,48.21%,,,,,,,,,,
254,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao瑞9691"，"点我对话"),瑞9691,山而又又 毛衣定制,,13415090890,,https://shop108180464.taobao.com,52,广东省汕头市,,98.6%,4.91146分,48.37%,4.9375分,54.67%,4.94271分,56.61%,,,,,,,,,,
255,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaojjoxx"，"点我对话"),jjoxx,淘衣控 [TYK STUDIO],13858041211,15869175995,,https://shop34508460.taobao.com,7,浙江省杭州市,,99.1%,4.2分,-13.02%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
256,,五金,=HYPERLINK("aliim:sendmsg?&touid=cntaobao美懒懒234"，"点我对话"),美懒懒234,转角1号精品女装店,18954120187,,,https://shop107656986.taobao.com,6795,山东省济南市,,,4.74499分,-1.73%,4.80791分,-1.11%,4.81254分,-1.14%,,,,,,,,,,
257,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaosharonvic21"，"点我对话"),sharonvic21,幂姿内衣专柜店,,13510183027,,https://shop36134398.taobao.com,4,广东省深圳市,,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
258,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaomeijiang77"，"点我对话"),meijiang77,七七潮牌定制,,18628126717,,https://shop36194917.taobao.com,76,四川省成都市,,,4.95031分,71.03%,4.95031分,63.96%,4.95445分,65.51%,,,,,,,,,,
259,广州赤美贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao蔻芭尚女装旗舰店"，"点我对话"),蔻芭尚女装旗舰店,蔻芭尚女装旗舰店,17620522247,15899957964,,https://shop579445167.taobao.com/,0,广东 广州,,,4.94168分,高于55.66%,4.91654分,高于52.17%,4.92057分,高于52.83%,,,,,,,,,,
260,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao泰州震达电器"，"点我对话"),泰州震达电器,泰州舜尧消防器材店,,18112190359,,https://shop102505825.taobao.com,506,江苏省泰州市,,,4.78022分,-2.72%,4.8022分,-2.44%,4.81319分,-2.19%,,,,,,,,,,
261,深圳玉德艺术品开发有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao马学武珠宝旗舰店"，"点我对话"),马学武珠宝旗舰店,马学武珠宝旗舰店,,13714617031,,https://shop288430617.taobao.com/,1166,广东 深圳,,,4.5分,7.97%,5.0分,100%,5.0分,100%,,,,,,,,,,
262,上海心素贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao艾妃旗舰店"，"点我对话"),艾妃旗舰店,艾妃旗舰店,,13524500851,,https://shop141550184.taobao.com/,165572,浙江 金华,,,4.9035分,18.24%,4.90433分,28.99%,4.90968分,30.23%,,,,,,,,,,
263,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoforgiveangel"，"点我对话"),forgiveangel,兰兰时尚精品服饰店,13857104605,,,https://shop37115850.taobao.com,0,浙江省杭州市,,98.9%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
264,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao就是爱趴趴"，"点我对话"),就是爱趴趴,小明哥的傻笑森林,,13917830202,,https://shop33574668.taobao.com,0,上海市,,99.4%,,,,,,,,,,,,,,,,
265,,一金,=HYPERLINK("aliim:sendmsg?&touid=cntaobao淘气花儿88"，"点我对话"),淘气花儿88,淘气花儿牛仔肤来诗,13373910856,13373910856,,https://shop34769318.taobao.com/,3,河南省郑州市,,97.9%,4.66667分,-2.67%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
266,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao陈艳1012"，"点我对话"),陈艳1012,美好时光手表店,,15867169344,,https://shop57975653.taobao.com,409,浙江省杭州市,,,4.94189分,58.82%,4.95157分,58.20%,4.94915分,53.98%,,,,,,,,,,
267,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao大熊是店主"，"点我对话"),大熊是店主,抖音网红女装工厂直销,,15306237749,,https://shop185474874.taobao.com,98,江苏省苏州市,,,4.50371分,-6.73%,4.58813分,-5.64%,4.66234分,-4.22%,,,,,,,,,,
268,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb5021111_88"，"点我对话"),tb5021111_88,军顺优选,,13276393456,,https://shop101582512.taobao.com,943,山东省青岛市,,97.4%,4.88387分,32.27%,4.91613分,39.15%,4.85806分,0.21%,,,,,,,,,,
269,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaowangyue_gao"，"点我对话"),wangyue_gao,月亮湾仪器商城,13522041353,13522041353,,https://shop35364068.taobao.com,5,重庆市,,99.3%,4.975分,83.75%,4.975分,81.16%,4.975分,80.88%,,,,,,,,,,
270,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaom758209431"，"点我对话"),m758209431,特朗服饰店,,,15089906277,https://shop145238041.taobao.com,391,广东省中山市,,98.4%,4.80418分,-0.50%,4.84549分,0.34%,4.85776分,0.21%,,,,,,,,,,
271,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaowjy13095305866"，"点我对话"),wjy13095305866,荣盛窗帘家纺布艺生活,,13095305866,,https://shop105773601.taobao.com,0,云南省昆明市,,99.8%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
272,深圳市幼宝母婴用品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao育儿世家旗舰店"，"点我对话"),育儿世家旗舰店,育儿世家旗舰店,,18050020338,,https://shop110297510.taobao.com/,46853,福建 厦门,,,5.0分,100%,5.0分,100%,5.0分,100%,,,,,,,,,,
273,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao小琴663"，"点我对话"),小琴663,名豪窗帘,,13794473854,,https://shop116559353.taobao.com,0,广东省深圳市,,100%,4.66667分,-3.02%,4.66667分,-3.65%,4.66667分,-3.73%,,,,,,,,,,
274,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao韩流基地阿勇"，"点我对话"),韩流基地阿勇,潮男私人订制男装,15918617668,15918617668,,https://shop109186097.taobao.com,115,广东省广州市,,99.1%,4.66753分,-3.33%,4.72727分,-2.77%,4.72208分,-3.00%,,,,,,,,,,
275,,四心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao我的鞋服"，"点我对话"),我的鞋服,三亿服饰,13468739867,,,https://shop102521211.taobao.com,0,陕西省商洛市,,100%,,,,,,,,,,,,,,,,
276,杭州莫语家居用品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaomomostalk莫语旗舰店"，"点我对话"),momostalk莫语旗舰店,momostalk莫语旗舰店,,13819496755,,https://shop192106496.taobao.com/,5022,,,,4.93228分,48.81%,4.93454分,55.03%,4.94131分,57.78%,,,,,,,,,,
277,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao令您难忘"，"点我对话"),令您难忘,睿睿牛仔良品店,,13570248300,,https://shop59950468.taobao.com,1,广东省广州市,,,4.90909分,46.99%,4.90909分,34.07%,4.90909分,31.15%,,,,,,,,,,
278,,三心,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoyangkai19921212"，"点我对话"),yangkai19921212,电源运营中心,,13051079590,,https://shop582862381.taobao.com,1,北京市,,100%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
279,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao小凯儿110"，"点我对话"),小凯儿110,小凯儿吊绳吊带,,18951855447,,https://shop62345982.taobao.com,1158,江苏省南京市,,99.8%,4.93966分,30.09%,4.94828分,33.38%,4.94828分,34.54%,,,,,,,,,,
280,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaocandy布布1"，"点我对话"),candy布布1,HAODUO好多 国际一线,,13967790603,,https://shop34425744.taobao.com,14007,浙江省温州市,,,4.91304分,51.86%,4.9441分,64.48%,4.94658分,64.83%,,,,,,,,,,
281,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao珍贵de角落"，"点我对话"),珍贵de角落,信力电气,13353335267,13587715163,,https://shop102373419.taobao.com,370,浙江省温州市,,99.7%,4.72727分,-3.79%,4.72727分,-3.96%,4.72727分,-3.94%,,,,,,,,,,
282,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao黄茂锋668"，"点我对话"),黄茂锋668,广州中大鸿彩柯式过粉,,13610347022,,https://shop66699522.taobao.com,5240,广东省广州市,,99.2%,4.98734,80.76%,4.97468,58.14%,5.0分,100.00%,,,,,,,,,,
283,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao鸿志食品门氏便利店"，"点我对话"),鸿志食品门氏便利店,d[s113239963],,18088644175,,https://shop113239963.taobao.com,0,吉林省长春市,,,,,,,,,,,,,,,,,,
284,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao星期天带你去看夜景好不好"，"点我对话"),星期天带你去看夜景好不好,香杰尔家纺品牌店,18662826333,,,https://shop128936896.taobao.com,22,江苏省南通市,,,4.60526分,-4.44%,4.73684分,-2.18%,4.73684分,-2.29%,,,,,,,,,,
285,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao艺杰斯卖场"，"点我对话"),艺杰斯卖场,广州厨卫批发总汇,,15976367404,,https://shop103296590.taobao.com,67,广东省潮州市,,98.7%,4.5分,-8.42%,4.5分,-8.58%,4.6分,-6.52%,,,,,,,,,,
286,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoyangran5"，"点我对话"),yangran5,艺外Carpentry,,15928799373,,https://sheenxy.taobao.com,190,四川省成都市,,,4.98992,88.32%,4.98741,83.78%,4.98489分,80.88%,,,,,,,,,,
287,杭州索汇电子科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao索汇数码专营店"，"点我对话"),索汇数码专营店,索汇数码专营店,,13136168788,,https://shop58439120.taobao.com/,45122,浙江， 杭州,,,4.88803分,14.26%,4.86873分,1.80%,4.87645分,2.86%,,,,,,,,,,
